"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2005","2005","PER","Persons","0","Units",,,404,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2006","2006","PER","Persons","0","Units",,,401,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2007","2007","PER","Persons","0","Units",,,400,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2008","2008","PER","Persons","0","Units",,,399,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2009","2009","PER","Persons","0","Units",,,398,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2010","2010","PER","Persons","0","Units",,,397,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2011","2011","PER","Persons","0","Units",,,396,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2012","2012","PER","Persons","0","Units",,,395,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2013","2013","PER","Persons","0","Units",,,395,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2014","2014","PER","Persons","0","Units",,,395,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2015","2015","PER","Persons","0","Units",,,395,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2016","2016","PER","Persons","0","Units",,,394,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2017","2017","PER","Persons","0","Units",,,393,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2018","2018","PER","Persons","0","Units",,,393,,
"USA26","Cuyahoga","POP_DEN","Population density (inhabitants per km2)","2019","2019","PER","Persons","0","Units",,,392,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2001","2001","USD","US Dollar","0","Units",,,63503,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2002","2002","USD","US Dollar","0","Units",,,65330,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2003","2003","USD","US Dollar","0","Units",,,67020,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2004","2004","USD","US Dollar","0","Units",,,69619,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2005","2005","USD","US Dollar","0","Units",,,71757,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2006","2006","USD","US Dollar","0","Units",,,72432,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2007","2007","USD","US Dollar","0","Units",,,72934,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2008","2008","USD","US Dollar","0","Units",,,74045,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2009","2009","USD","US Dollar","0","Units",,,73426,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2010","2010","USD","US Dollar","0","Units",,,75199,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2011","2011","USD","US Dollar","0","Units",,,74960,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2012","2012","USD","US Dollar","0","Units",,,74232,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2013","2013","USD","US Dollar","0","Units",,,73678,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2014","2014","USD","US Dollar","0","Units",,,73893,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2015","2015","USD","US Dollar","0","Units",,,75781,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2016","2016","USD","US Dollar","0","Units",,,77600,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2017","2017","USD","US Dollar","0","Units",,,78089,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2018","2018","USD","US Dollar","0","Units",,,78940,,
"USA04","Washington (Greater)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2019","2019","USD","US Dollar","0","Units",,,79967,,
"USA11","Boston","T_T","Population, all ages, administrative data","2001","2001","PER","Persons","0","Units",,,4034818,,
"USA11","Boston","T_T","Population, all ages, administrative data","2002","2002","PER","Persons","0","Units",,,4038005,,
"USA11","Boston","T_T","Population, all ages, administrative data","2003","2003","PER","Persons","0","Units",,,4029984,,
"USA11","Boston","T_T","Population, all ages, administrative data","2004","2004","PER","Persons","0","Units",,,4017927,,
"USA11","Boston","T_T","Population, all ages, administrative data","2005","2005","PER","Persons","0","Units",,,4008175,,
"USA11","Boston","T_T","Population, all ages, administrative data","2006","2006","PER","Persons","0","Units",,,4013375,,
"USA11","Boston","T_T","Population, all ages, administrative data","2007","2007","PER","Persons","0","Units",,,4031971,,
"USA11","Boston","T_T","Population, all ages, administrative data","2008","2008","PER","Persons","0","Units",,,4065685,,
"USA11","Boston","T_T","Population, all ages, administrative data","2009","2009","PER","Persons","0","Units",,,4109103,,
"USA11","Boston","T_T","Population, all ages, administrative data","2010","2010","PER","Persons","0","Units",,,4147945,,
"USA11","Boston","T_T","Population, all ages, administrative data","2011","2011","PER","Persons","0","Units",,,4189869,,
"USA11","Boston","T_T","Population, all ages, administrative data","2012","2012","PER","Persons","0","Units",,,4234472,,
"USA11","Boston","T_T","Population, all ages, administrative data","2013","2013","PER","Persons","0","Units",,,4279585,,
"USA11","Boston","T_T","Population, all ages, administrative data","2014","2014","PER","Persons","0","Units",,,4320509,,
"USA11","Boston","T_T","Population, all ages, administrative data","2015","2015","PER","Persons","0","Units",,,4350699,,
"USA11","Boston","T_T","Population, all ages, administrative data","2016","2016","PER","Persons","0","Units",,,4378810,,
"USA11","Boston","T_T","Population, all ages, administrative data","2017","2017","PER","Persons","0","Units",,,4408217,,
"USA11","Boston","T_T","Population, all ages, administrative data","2018","2018","PER","Persons","0","Units",,,4423871,,
"USA11","Boston","T_T","Population, all ages, administrative data","2019","2019","PER","Persons","0","Units",,,4435908,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2001","2001","USD","US Dollar","0","Units",,,44063,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2002","2002","USD","US Dollar","0","Units",,,45371,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2003","2003","USD","US Dollar","0","Units",,,45984,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2004","2004","USD","US Dollar","0","Units",,,47405,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2005","2005","USD","US Dollar","0","Units",,,47246,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2006","2006","USD","US Dollar","0","Units",,,48507,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2007","2007","USD","US Dollar","0","Units",,,49122,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2008","2008","USD","US Dollar","0","Units",,,49614,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2009","2009","USD","US Dollar","0","Units",,,50622,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2010","2010","USD","US Dollar","0","Units",,,51945,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2011","2011","USD","US Dollar","0","Units",,,51107,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2012","2012","USD","US Dollar","0","Units",,,52509,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2013","2013","USD","US Dollar","0","Units",,,52565,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2014","2014","USD","US Dollar","0","Units",,,54039,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2015","2015","USD","US Dollar","0","Units",,,55798,,
"USA44","Erie (NY)","GDP_PC_REAL_PPP","GDP per capita (USD, constant prices, constant PPP, base year 2015)","2016","2016","USD","US Dollar","0","Units",,,56974,,
